,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
514,810426,7.0,0,fair,bottom_quartile
515,811741,59.0,0,excellent,top_quartile
516,813506,10.0,0,good,second_quartile
517,816456,12.0,0,good,second_quartile
518,817691,48.0,1,excellent,top_quartile
519,818301,18.0,0,excellent,third_quartile
520,819481,28.0,0,excellent,third_quartile
521,820666,33.0,0,excellent,top_quartile
522,821611,46.0,0,excellent,top_quartile
523,825281,12.0,0,good,second_quartile
524,826486,3.5,0,excellent,bottom_quartile
525,827952,74.0,0,excellent,top_quartile
526,828286,16.0,0,excellent,second_quartile
527,829216,2.5,0,excellent,bottom_quartile
528,830551,22.0,0,excellent,third_quartile
529,831431,27.0,0,excellent,third_quartile
530,832551,28.0,0,excellent,third_quartile
531,834531,42.0,0,excellent,top_quartile
532,836491,12.0,0,excellent,second_quartile
533,837215,1.75,0,excellent,bottom_quartile
534,838523,7.5,0,excellent,bottom_quartile
535,839386,14.0,0,excellent,second_quartile
536,840205,0.45,0,excellent,bottom_quartile
537,841581,46.0,0,excellent,top_quartile
538,842195,6.5,0,excellent,bottom_quartile
539,843215,1.15,0,excellent,bottom_quartile
540,846681,29.0,0,excellent,third_quartile
541,847471,23.0,0,good,third_quartile
542,849591,15.0,0,excellent,second_quartile
543,850621,39.0,0,excellent,top_quartile
544,852291,10.0,0,excellent,second_quartile
545,854321,7.5,0,excellent,bottom_quartile
546,855291,18.0,0,good,third_quartile
547,857421,18.0,0,excellent,third_quartile
548,860495,30.0,0,excellent,top_quartile
549,863321,19.0,0,good,third_quartile
550,864491,35.0,0,good,top_quartile
551,865761,62.0,0,excellent,top_quartile
552,866281,14.0,0,excellent,second_quartile
553,867591,47.0,0,excellent,top_quartile
554,870281,13.0,0,very poor,second_quartile
555,871691,58.0,0,fair,top_quartile
556,872215,1.5,0,good,bottom_quartile
557,873623,14.0,0,good,second_quartile
558,875485,4.0,0,fair,bottom_quartile
559,877525,3.5,0,excellent,bottom_quartile
560,878321,9.0,0,excellent,bottom_quartile
561,879303,0.15,0,good,bottom_quartile
562,881325,7.5,0,good,bottom_quartile
563,883411,28.0,0,excellent,third_quartile
564,885511,39.0,0,excellent,top_quartile
565,886295,5.15,0,poor,bottom_quartile
566,887421,31.0,0,excellent,top_quartile
567,888391,14.0,0,good,second_quartile
568,889295,2.5,0,good,bottom_quartile
569,891551,39.0,0,good,top_quartile
570,892453,5.0,0,very poor,bottom_quartile
571,895411,23.0,0,fair,third_quartile
572,896413,23.0,0,good,third_quartile
573,898456,14.0,0,excellent,second_quartile
574,899246,6.5,0,fair,bottom_quartile
575,900391,17.0,0,excellent,second_quartile
576,901691,44.0,0,excellent,top_quartile
577,902521,11.0,0,excellent,second_quartile
578,903206,8.0,0,excellent,bottom_quartile
579,904751,27.0,0,excellent,third_quartile
580,905491,24.0,0,excellent,third_quartile
581,906593,0.45,0,fair,bottom_quartile
582,907301,13.0,0,excellent,second_quartile
583,909792,10.0,1,excellent,second_quartile
584,910521,15.0,0,fair,second_quartile
585,918235,1.15,0,good,bottom_quartile
586,919582,27.0,1,excellent,third_quartile
587,922591,29.0,0,excellent,third_quartile
588,923466,21.0,0,good,third_quartile
589,924602,45.0,0,good,top_quartile
590,926551,30.0,0,excellent,top_quartile
591,928523,0.05,0,excellent,bottom_quartile
